season,candidate,rps
2015/16,bookmaker,0.006507342509369083
2015/16,bookmaker,0.20670349933165558
2015/16,bookmaker,0.06597509482991941
2015/16,bookmaker,0.4175705540496308
2015/16,bookmaker,0.12304984431484882
2015/16,bookmaker,0.38469780157641353
2015/16,bookmaker,0.09351634897338398
2015/16,bookmaker,0.38589432477878244
2015/16,bookmaker,0.06024649603104798
2015/16,bookmaker,0.14178300901894664
2015/16,bookmaker,0.2230696718427472
2015/16,bookmaker,0.13024654882151077
2015/16,bookmaker,0.29064672054517676
2015/16,bookmaker,0.02319811476251763
2015/16,bookmaker,0.13440458364903468
2015/16,bookmaker,0.1408682405529691
2015/16,bookmaker,0.4667564492466239
2015/16,bookmaker,0.07200685082693528
2015/16,bookmaker,0.18390471149589152
2015/16,bookmaker,0.17291512212464683
2015/16,bookmaker,0.42246668710523333
2015/16,bookmaker,0.12505505699884248
2015/16,bookmaker,0.463197461195876
2015/16,bookmaker,0.047897212762947255
2015/16,bookmaker,0.13030793630087756
2015/16,bookmaker,0.28387849719423464
2015/16,bookmaker,0.021783608295444963
2015/16,bookmaker,0.4810709920384798
2015/16,bookmaker,0.010458383446183078
2015/16,bookmaker,0.18004543435739156
2015/16,bookmaker,0.05130357707382244
2015/16,bookmaker,0.25354971070742444
2015/16,bookmaker,0.15012265349922727
2015/16,bookmaker,0.7380157410913881
2015/16,bookmaker,0.11772678953245654
2015/16,bookmaker,0.4005665835707829
2015/16,bookmaker,0.2138304835652197
2015/16,bookmaker,0.11108673281535415
2015/16,bookmaker,0.4017970284016668
2015/16,bookmaker,0.025384773618162684
2015/16,bookmaker,0.24177778242766979
2015/16,bookmaker,0.13104711378467432
2015/16,bookmaker,0.3086502612216949
2015/16,bookmaker,0.17699324231136754
2015/16,bookmaker,0.10975724981426103
2015/16,n0_fresh_v2,0.11369659480471977
2015/16,n0_fresh_v2,0.9082320136957807
2015/16,n0_fresh_v2,0.0013437429954908716
2015/16,n0_fresh_v2,0.9470079637747653
2015/16,n0_fresh_v2,0.4172892748084385
2015/16,n0_fresh_v2,0.9309884751201536
2015/16,n0_fresh_v2,0.0012704311339275113
2015/16,n0_fresh_v2,0.5763608009803798
2015/16,n0_fresh_v2,0.05510957210339456
2015/16,n0_fresh_v2,0.1938826780170771
2015/16,n0_fresh_v2,0.2567984639920641
2015/16,n0_fresh_v2,0.3714017856408056
2015/16,n0_fresh_v2,0.140470543026422
2015/16,n0_fresh_v2,0.29217399513719805
2015/16,n0_fresh_v2,0.18487607029959527
2015/16,n0_fresh_v2,0.15021311721561859
2015/16,n0_fresh_v2,0.38138762834283224
2015/16,n0_fresh_v2,0.19637579743180186
2015/16,n0_fresh_v2,0.2811147225365818
2015/16,n0_fresh_v2,0.21170219614133415
2015/16,n0_fresh_v2,0.2656226201129248
2015/16,n0_fresh_v2,0.2625162549909683
2015/16,n0_fresh_v2,0.3727604004848462
2015/16,n0_fresh_v2,0.2837246911174746
2015/16,n0_fresh_v2,0.13432363361401542
2015/16,n0_fresh_v2,0.22924172115793384
2015/16,n0_fresh_v2,0.07201758537876968
2015/16,n0_fresh_v2,0.3494006432779875
2015/16,n0_fresh_v2,0.07020861977047148
2015/16,n0_fresh_v2,0.14378864730791596
